iteration,secondPartCharge,compensationCharge,waterUndertaker,volume,source,eiucSource,season,loss,region,abatementAdjustment,s127Agreement,s130Agreement,billableDays,abstractableDays,expChargeValue,expSucFactor,expVolumeFactor,expSourceFactor,expSeasonFactor,expLossFactor,expAbatementAdjustment,expS127Agreement,expS130Agreement,expEiucSourceFactor,expEiucFactor,expDP_sourceFactor,expDP_seasonFactor,expDP_lossFactor,expDP_volumeFactor,expDP_abatementAdjustment,expDP_s127Agreement,expDP_s130Agreement,expDP_secondPartCharge,expDP_waterUndertaker,expDP_eiucFactor,expDP_compensationCharge,expDP_eiucSourceFactor,expDP_sucFactor
1,false,false,false,10785,Supported,,All Year,Medium,Devon and Cornwall (South West),0.50,false,true,238,366,103672.58,19.710,10785,3.0,1.0,0.6,S126 x 0.5,,S130S x 0.833,0.0,0.0,32355,32355,19413,10785,191315.115,191315.115,159429.2624,false,false,0,false,0,382630.23
2,false,false,false,6.4827,Unsupported,,All Year,Medium,Thames,1.00,false,false,210,366,30.89,13.840,6.4827,1.0,1.0,0.6,S126 x 1.0,,,0.0,0.0,6.4827,6.4827,3.88962,6.4827,53.8323408,53.8323408,53.8323408,false,false,0,false,0,53.8323408
3,false,false,false,12.502,Unsupported,,Winter,High,North and South Wessex,1.00,false,false,152,152,39.43,19.710,12.502,1.0,0.16,1.0,S126 x 1.0,,,0.0,0.0,12.502,2.00032,2.00032,12.502,39.4263072,39.4263072,39.4263072,false,false,0,false,0,39.4263072
4,false,false,false,2722.277,Unsupported,,Winter,High,Wales,1.00,false,false,152,152,6768.67,15.54,2722.277,1.0,0.16,1.0,S126 x 1.0,,,0.0,0.0,2722.277,435.56432,435.56432,2722.277,6768.669533,6768.669533,6768.669533,false,false,0,false,0,6768.669533
5,false,true,false,27.277,Unsupported,Unsupported,Winter,High,Devon and Cornwall (South West),1.00,false,false,152,152,0.00,0,27.277,0,0.16,1.0,S126 x 1.0,,,1.0,0.00,0,4.36432,4.36432,27.277,0,0,0,false,false,0,true,27.277,0
6,false,false,false,20.458,Tidal,,Summer,High,Thames,1.00,true,false,139,245,25.70,13.840,20.458,0.2,1.6,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,4.0916,6.54656,6.54656,20.458,90.6043904,45.3021952,45.3021952,false,false,0,false,0,90.6043904
7,false,false,false,3.409,Tidal,,Summer,High,Devon and Cornwall (South West),1.00,true,false,31,245,1.36,19.710,3.409,0.2,1.6,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,0.6818,1.09088,1.09088,3.409,21.5012448,10.7506224,10.7506224,false,false,0,false,0,21.5012448
8,false,false,false,3.805,Supported,,Summer,High,Anglian,0.10,false,false,365,366,50.11,27.51,3.805,3.0,1.6,1.0,S126 x 0.1,,,0.0,0.0,11.415,18.264,18.264,3.805,50.244264,50.244264,50.244264,false,false,0,false,0,502.44264
9,false,false,false,1001.22,Unsupported,,Summer,High,Wales,1.00,false,false,2,25,1991.55,15.54,1001.22,1.0,1.6,1.0,S126 x 1.0,,,0.0,0.0,1001.22,1601.952,1601.952,1001.22,24894.33408,24894.33408,24894.33408,false,false,0,false,0,24894.33408
10,true,false,false,1002,Tidal,Supported,Winter,High,Northumbria,1.00,false,true,0,0,267.09,16.660,1002,0.2,0.16,1.0,S126 x 1.0,,S130U x 0.5,0.0,0.0,200.4,32.064,32.064,1002,534.18624,534.18624,267.09312,true,false,0,false,0,534.18624
11,false,false,false,25.6,Kielder,Tidal,Winter,Medium,North West,1.00,false,false,210,210,500.45,12.570,25.6,16.2,0.16,0.6,S126 x 1.0,,,0.0,0.0,414.72,66.3552,39.81312,25.6,500.4509184,500.4509184,500.4509184,false,false,0,false,0,500.4509184
12,false,false,false,1004,Supported,,All Year,Medium,Southern,1.00,false,false,309,365,29420.57,19.230,1004,3.0,1.0,0.6,S126 x 1.0,,,0.0,0.0,3012,3012,1807.2,1004,34752.456,34752.456,34752.456,false,false,0,false,0,34752.456
13,false,false,false,100050,Unsupported,,All Year,Low,South West (incl Wessex),1.00,true,false,355,365,28769.38,19.710,100050,1.0,1.0,0.03,S126 x 1.0,S127 x 0.5,,0.0,0.0,100050,100050,3001.5,100050,59159.565,29579.7825,29579.7825,false,false,0,false,0,59159.565
14,true,false,false,100,Tidal,Kielder,Summer,Low,North and South Wessex,1.00,true,false,0,0,9.46,19.710,100,0.2,1.6,0.03,S126 x 1.0,S127 x 0.5,,0.0,0.0,20,32,0.96,100,18.9216,9.4608,9.4608,true,false,0,false,0,18.9216
15,false,true,false,0.66,Kielder,Kielder,Summer,Low,Thames,0.89,false,true,366,366,0.00,0,0.66,0,1.6,0.03,S126 x 0.89,,S130S x 0.833,1.0,0.00,0,1.056,0.03168,0.66,0,0,0,false,false,0,true,0.66,0
16,false,false,false,1008,Supported,,Winter,Very Low,Devon and Cornwall (South West),1.00,false,true,0,2,0.00,19.710,1008,3.0,0.16,0.003,S126 x 1.0,,S130S x 0.833,0.0,0.0,3024,483.84,1.45152,1008,28.6094592,28.6094592,23.84121599,false,false,0,false,0,28.6094592
17,false,false,false,100,Unsupported,,Winter,Very Low,North and South Wessex,0.90,false,false,1,366,0.00,19.710,100,1.0,0.16,0.003,S126 x 0.9,,,0.0,0.0,100,16,0.048,100,0.851472,0.851472,0.851472,false,false,0,false,0,0.94608
18,true,false,false,0,Tidal,Supported,Summer,High,Anglian,1.00,false,false,0,0,0.00,27.51,0,0.2,1.6,1.0,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
19,false,true,false,0,Kielder,Tidal,Summer,High,Anglian,0.99,false,false,183,183,0.00,0,0,0,1.6,1.0,S126 x 0.99,,,0.2,0.00,0,0,0,0,0,0,0,false,false,0,true,0,0
20,false,false,false,3637,Supported,,All Year,Very Low,Midlands,1.00,false,false,43,366,57.49,14.950,3637,3.0,1.0,0.003,S126 x 1.0,,,0.0,0.0,10911,10911,32.733,3637,489.35835,489.35835,489.35835,false,false,0,false,0,489.35835
21,false,false,false,99999.9,Unsupported,,Winter,High,Wales,0.11,false,true,1,18,759.73,15.54,99999.9,1.0,0.16,1.0,S126 x 0.11,,S130U x 0.5,0.0,0.0,99999.9,15999.984,15999.984,99999.9,27350.37265,27350.37265,13675.18632,false,false,0,false,0,248639.7514
22,true,false,false,0.01,Unsupported,Tidal,Summer,Medium,Northumbria,1.00,false,true,0,0,0.08,16.660,0.01,1.0,1.6,0.6,S126 x 1.0,,S130U x 0.5,0.0,0.0,0.01,0.016,0.0096,0.01,0.159936,0.159936,0.079968,true,false,0,false,0,0.159936
23,false,true,false,1001.999,Tidal,Unsupported,Winter,Medium,Northumbria,0.89,false,false,360,366,0.00,0,1001.999,0,0.16,0.6,S126 x 0.89,,,1.0,0.00,0,160.31984,96.191904,1001.999,0,0,0,false,false,0,true,1001.999,0
24,false,false,false,1002,Kielder,,Winter,Low,North West,1.00,false,false,199,200,974.50,12.570,1002,16.2,0.16,0.03,S126 x 1.0,,,0.0,0.0,16232.4,2597.184,77.91552,1002,979.3980864,979.3980864,979.3980864,false,false,0,false,0,979.3980864
25,false,false,false,1003.33,Supported,,All Year,High,Dee,0.04,true,false,99,101,916.98,15.54,1003.33,3.0,1.0,1.0,S126 x 0.04,S127 x 0.5,,0.0,0.0,3009.99,3009.99,3009.99,1003.33,1871.009784,935.504892,935.504892,false,false,0,false,0,46775.2446
26,true,false,false,0.775,Unsupported,Tidal,All Year,Low,Southern,1.00,true,false,0,0,0.22,19.230,0.775,1.0,1.0,0.03,S126 x 1.0,S127 x 0.5,,0.0,0.0,0.775,0.775,0.02325,0.775,0.4470975,0.22354875,0.22354875,true,false,0,false,0,0.4470975
27,false,true,false,1005.22,Tidal,Unsupported,Summer,Very Low,South West (incl Wessex),1.00,true,false,64,75,0.00,0,1005.22,0,1.6,0.003,S126 x 1.0,,,1.0,0.00,0,1608.352,4.825056,1005.22,0,0,0,false,false,0,true,1005.22,0
28,false,false,false,0.123,Kielder,,Summer,High,Southern,0.00,true,false,0,1,0.00,19.230,0.123,16.2,1.6,1.0,S126 x 0.0,S127 x 0.5,,0.0,0.0,1.9926,3.18816,3.18816,0.123,0,0,0,false,false,0,false,0,61.3083168
29,false,false,false,1007,Supported,,Winter,Medium,South West (incl Wessex),1.00,false,true,361,366,4698.44,19.710,1007,3.0,0.16,0.6,S126 x 1.0,,S130S x 0.833,0.0,0.0,3021,483.36,290.016,1007,5716.21536,5716.21536,4763.512798,false,false,0,false,0,5716.21536
30,true,false,false,2,Unsupported,Kielder,Winter,Medium,Devon and Cornwall (South West),1.00,false,false,0,0,3.78,19.710,2,1.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,2,0.32,0.192,2,3.78432,3.78432,3.78432,true,false,0,false,0,3.78432
31,false,true,true,0.999,Tidal,Other,Winter,Very Low,Wales,1.00,false,false,110,119,0.00,0,0.999,0,0.16,0.003,S126 x 1.0,,,1.0,0.00,0,0.15984,0.00047952,0.999,0,0,0,false,true,0,true,0.999,0
32,false,false,false,8180,Kielder,,Winter,Very Low,Yorkshire,0.50,false,false,210,210,369.88,11.630,8180,16.2,0.16,0.003,S126 x 0.5,,,0.0,0.0,132516,21202.56,63.60768,8180,369.8786592,369.8786592,369.8786592,false,false,0,false,0,739.7573184
33,false,false,false,32100.1,Supported,,All Year,Low,Yorkshire,1.00,false,false,309,365,28444.23,11.630,32100.1,3.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,96300.3,96300.3,2889.009,32100.1,33599.17467,33599.17467,33599.17467,false,false,0,false,0,33599.17467
34,true,false,false,0.009,Supported,Supported,All Year,Very Low,Dee,1.00,true,false,0,0,0.00,15.54,0.009,3.0,1.0,0.003,S126 x 1.0,S127 x 0.5,,0.0,0.0,0.027,0.027,0.000081,0.009,0.00125874,0.00062937,0.00062937,true,false,0,false,0,0.00125874
35,false,true,false,0.0001,Tidal,Supported,Summer,High,Dee,0.50,true,false,365,365,0.00,0,0.0001,0,1.6,1.0,S126 x 0.5,,,1.0,0.00,0,0.00016,0.00016,0.0001,0,0,0,false,false,0,true,0.0001,0
36,false,false,false,32100.001,Tidal,,Summer,Medium,Wye,0.01,false,true,366,366,478.88,15.54,32100.001,0.2,1.6,0.6,S126 x 0.01,,S130U x 0.5,0.0,0.0,6420.0002,10272.00032,6163.200192,32100.001,957.7613098,957.7613098,478.8806549,false,false,0,false,0,95776.13098
37,false,false,false,1008,Supported,,Winter,Medium,North and South Wessex,1.00,false,true,0,2,0.00,19.710,1008,3.0,0.16,0.6,S126 x 1.0,,S130S x 0.833,0.0,0.0,3024,483.84,290.304,1008,5721.89184,5721.89184,4768.243198,false,false,0,false,0,5721.89184
38,true,false,false,1,Unsupported,Unsupported,Winter,High,Midlands,1.00,false,true,0,0,1.20,14.950,1,1.0,0.16,1.0,S126 x 1.0,,S130U x 0.5,0.0,0.0,1,0.16,0.16,1,2.392,2.392,1.196,true,false,0,false,0,2.392
39,false,true,true,1.001,Unsupported,Tidal,All Year,High,Devon and Cornwall (South West),0.03,false,false,214,218,0.00,0,1.001,0,1.0,1.0,S126 x 0.03,,,0.2,0.00,0,0.2002,0.2002,1.001,0,0,0,false,true,0,true,0.2002,0
40,false,false,false,32100,Unsupported,,Winter,Medium,North West,0.89,true,false,183,183,17237.39,12.570,32100,1.0,0.16,0.6,S126 x 0.89,S127 x 0.5,,0.0,0.0,32100,5136,3081.6,32100,34474.78368,17237.39184,17237.39184,false,false,0,false,0,38735.712
41,false,false,false,3637,Tidal,,Summer,High,Devon and Cornwall (South West),1.00,false,false,43,366,2695.05,19.710,3637,0.2,1.6,1.0,S126 x 1.0,,,0.0,0.0,727.4,1163.84,1163.84,3637,22939.2864,22939.2864,22939.2864,false,false,0,false,0,22939.2864
42,false,true,false,999999.9999,Kielder,Supported,Winter,Medium,South West (incl Wessex),1.00,false,false,1,18,0.00,0,999999.9999,0,0.16,0.6,S126 x 1.0,,,1.0,0.00,0,160000,95999.99999,999999.9999,0,0,0,false,false,0,true,999999.9999,0
43,true,false,false,0,Supported,Tidal,Winter,Medium,Thames,1.00,false,false,0,0,0.00,13.840,0,3.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
44,false,false,false,0.01,Unsupported,,All Year,Low,Yorkshire,0.99,false,false,360,366,0.00,11.630,0.01,1.0,1.0,0.03,S126 x 0.99,,,0.0,0.0,0.01,0.01,0.0003,0.01,0.00345411,0.00345411,0.00345411,false,false,0,false,0,0.003489
45,false,false,false,1001,Tidal,,All Year,Low,Dee,1.00,false,true,199,200,46.43,15.54,1001,0.2,1.0,0.03,S126 x 1.0,,S130U x 0.5,0.0,0.0,200.2,200.2,6.006,1001,93.33324,93.33324,46.66662,false,false,0,false,0,93.33324
46,false,true,false,0.01,Kielder,Kielder,Summer,Low,Wye,1.00,true,false,99,101,0.00,0,0.01,0,1.6,0.03,S126 x 1.0,,,1.0,0.00,0,0.016,0.00048,0.01,0,0,0,false,false,0,true,0.01,0
47,true,false,false,0,Supported,Kielder,Summer,Very Low,Northumbria,1.00,true,false,0,0,0.00,16.660,0,3.0,1.6,0.003,S126 x 1.0,S127 x 0.5,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
48,false,false,false,2,Unsupported,,Winter,Very Low,North West,0.90,true,false,64,75,0.00,12.570,2,1.0,0.16,0.003,S126 x 0.9,S127 x 0.5,,0.0,0.0,2,0.32,0.00096,2,0.01086048,0.00543024,0.00543024,false,false,0,false,0,0.0120672
49,false,false,false,1003,Tidal,,Winter,High,Southern,0.50,true,false,0,366,0.00,19.230,1003,0.2,0.16,1.0,S126 x 0.5,S127 x 0.5,,0.0,0.0,200.6,32.096,32.096,1003,308.60304,154.30152,154.30152,false,false,0,false,0,617.20608
50,false,true,false,11.6,Kielder,Kielder,Summer,High,Wales,1.00,false,false,364,365,0.00,0,11.6,0,1.6,1.0,S126 x 1.0,,,1.0,0.00,0,18.56,18.56,11.6,0,0,0,false,false,0,true,11.6,0
51,true,false,false,10050,Supported,Supported,Summer,Very Low,Wales,1.00,false,true,0,0,1874.12,15.54,10050,3.0,1.6,0.003,S126 x 1.0,,S130S x 0.833,0.0,0.0,30150,48240,144.72,10050,2248.9488,2248.9488,1874.123999,true,false,0,false,0,2248.9488
52,false,false,false,100,Supported,,All Year,High,Wales,0.96,false,true,199,200,3710.95,15.54,100,3.0,1.0,1.0,S126 x 0.96,,S130S x 0.833,0.0,0.0,300,300,300,100,4475.52,4475.52,3729.599999,false,false,0,false,0,4662
53,false,false,false,1.06,Supported,,Winter,Medium,Wales,0.50,false,true,99,101,1.94,15.54,1.06,3.0,0.16,0.6,S126 x 0.5,,S130S x 0.833,0.0,0.0,3.18,0.5088,0.30528,1.06,2.3720256,2.3720256,1.976687999,false,false,0,false,0,4.7440512
54,false,true,false,1008,Tidal,Other,Summer,Medium,North and South Wessex,1.00,false,false,9,99,0.00,0,1008,0,1.6,0.6,S126 x 1.0,,,1.0,0.00,0,1612.8,967.68,1008,0,0,0,false,false,0,true,1008,0
55,true,false,false,100,Kielder,Kielder,Winter,Low,North West,1.00,false,false,0,0,97.74,12.570,100,16.2,0.16,0.03,S126 x 1.0,,,0.0,0.0,1620,259.2,7.776,100,97.74432,97.74432,97.74432,true,false,0,false,0,97.74432
56,false,false,false,8180,Supported,,Winter,High,Dee,1.00,false,false,0,366,0.00,15.54,8180,3.0,0.16,1.0,S126 x 1.0,,,0.0,0.0,24540,3926.4,3926.4,8180,61016.256,61016.256,61016.256,false,false,0,false,0,61016.256
57,false,false,false,32100,Unsupported,,All Year,Low,Southern,1.00,false,false,361,366,18265.51,19.230,32100,1.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,32100,32100,963,32100,18518.49,18518.49,18518.49,false,false,0,false,0,18518.49
58,false,true,true,3637,Tidal,Tidal,All Year,Very Low,Thames,0.50,false,false,2,25,0.00,0,3637,0,1.0,0.003,S126 x 0.5,,,0.2,0.00,0,727.4,2.1822,3637,0,0,0,false,true,0,true,727.4,0
59,true,false,false,999999.9,Kielder,Unsupported,Summer,High,South West (incl Wessex),1.00,false,false,0,0,510883148.91,19.710,999999.9,16.2,1.6,1.0,S126 x 1.0,,,0.0,0.0,16199998.38,25919997.41,25919997.41,999999.9,510883148.9,510883148.9,510883148.9,true,false,0,false,0,510883148.9
60,false,false,false,0.01,Unsupported,,Summer,Medium,South West (incl Wessex),1.00,false,true,210,210,0.09,19.710,0.01,1.0,1.6,0.6,S126 x 1.0,,S130U x 0.5,0.0,0.0,0.01,0.016,0.0096,0.01,0.189216,0.189216,0.094608,false,false,0,false,0,0.189216
61,false,false,false,1001.999,Unsupported,,Winter,Medium,Thames,1.00,false,false,309,365,1127.04,13.840,1001.999,1.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,1001.999,160.31984,96.191904,1001.999,1331.295951,1331.295951,1331.295951,false,false,0,false,0,1331.295951
62,false,true,false,1002,Tidal,Tidal,Winter,Very Low,Thames,0.89,false,false,355,365,0.00,0,1002,0,0.16,0.003,S126 x 0.89,,,0.2,0.00,0,32.064,0.096192,1002,0,0,0,false,false,0,true,200.4,0
63,false,false,false,1003.33,Kielder,,Winter,Very Low,Yorkshire,1.00,false,false,365,365,90.74,11.630,1003.33,16.2,0.16,0.003,S126 x 1.0,,,0.0,0.0,16253.946,2600.63136,7.80189408,1003.33,90.73602815,90.73602815,90.73602815,false,false,0,false,0,90.73602815
64,true,false,false,0,Supported,Unsupported,Winter,Low,Yorkshire,1.00,false,false,0,0,0.00,11.630,0,3.0,0.16,0.03,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
65,false,false,false,1005,Unsupported,,All Year,Very Low,North and South Wessex,1.00,false,true,0,2,0.00,19.710,1005,1.0,1.0,0.003,S126 x 1.0,,S130U x 0.5,0.0,0.0,1005,1005,3.015,1005,59.42565,59.42565,29.712825,false,false,0,false,0,59.42565
66,false,true,false,100,Supported,Other,All Year,High,North and South Wessex,0.50,true,true,365,366,0.00,0,100,0,1.0,1.0,S126 x 0.5,,S130S x 0.833,1.0,0.00,0,100,100,100,0,0,0,false,false,0,true,100,0
67,false,false,false,2.654,Unsupported,,Summer,Medium,Wye,1.00,false,false,214,366,23.15,15.54,2.654,1.0,1.6,0.6,S126 x 1.0,,,0.0,0.0,2.654,4.2464,2.54784,2.654,39.5934336,39.5934336,39.5934336,false,false,0,false,0,39.5934336
68,true,false,false,0.001,Tidal,Unsupported,Summer,Medium,Wye,1.00,false,false,0,0,0.00,15.54,0.001,0.2,1.6,0.6,S126 x 1.0,,,0.0,0.0,0.0002,0.00032,0.000192,0.001,0.00298368,0.00298368,0.00298368,true,false,0,false,0,0.00298368
69,false,false,false,0.999,Unsupported,,Winter,High,Midlands,0.88,true,false,210,211,1.05,14.950,0.999,1.0,0.16,1.0,S126 x 0.88,S127 x 0.5,,0.0,0.0,0.999,0.15984,0.15984,0.999,2.10285504,1.05142752,1.05142752,false,false,0,false,0,2.389608
70,false,true,false,8180,Unsupported,Supported,Winter,Very Low,North West,1.00,true,false,309,365,0.00,0,8180,0,0.16,0.003,S126 x 1.0,,,1.0,0.00,0,1308.8,3.9264,8180,0,0,0,false,false,0,true,8180,0
